thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(-0.973448, -0.206024, 0.0997643)","(-0.947035, -0.318433, 0.0415324)","(-0.944948, -0.325004, 0.0380179)","(-0.856757, -0.0434677, 0.513886)","(-0.722322, -0.0684091, 0.688165)","(-0.749719, -0.0309846, 0.66103)","(-0.77132, 0.000917183, 0.636447)","(-0.803857, 0.0560068, 0.59218)","(-0.574276, 0.00190257, 0.818659)","(-0.588626, 0.0148476, 0.808269)","(-0.644191, 0.0675528, 0.761876)","(-0.729492, 0.166437, 0.663431)","(-0.703643, 0.209881, 0.67885)","(-0.729721, 0.236069, 0.6417)","(-0.749235, 0.256655, 0.610552)","(-0.628582, 0.23886, 0.740155)","(-0.227212, 0.14449, 0.963067)","(-0.8333, 0.502784, 0.229827)","(-0.630433, 0.373361, -0.680555)",pinch
"(0, 0, 0)","(-0.976676, -0.196592, 0.0863472)","(-0.950937, -0.308256, 0.0264077)","(-0.948888, -0.31479, 0.0227988)","(-0.862402, -0.0426693, 0.504423)","(-0.729046, -0.0718361, 0.680685)","(-0.756132, -0.0330831, 0.653583)","(-0.777399, -5.0416e-05, 0.629008)","(-0.809188, 0.054805, 0.584988)","(-0.58256, -0.00588642, 0.812767)","(-0.596655, 0.00740283, 0.802463)","(-0.651146, 0.0615445, 0.756453)","(-0.734317, 0.163111, 0.658919)","(-0.713658, 0.214874, 0.666725)","(-0.738228, 0.241485, 0.629844)","(-0.756468, 0.262313, 0.599123)","(-0.633388, 0.233018, 0.737918)","(-0.238789, 0.131308, 0.962153)","(-0.830433, 0.507648, 0.229509)","(-0.620808, 0.393407, -0.678106)",pinch
"(0, 0, 0)","(-0.97775, -0.197216, 0.0714918)","(-0.951785, -0.306671, 0.00769926)","(-0.949721, -0.313073, 0.00386923)","(-0.866426, -0.059003, 0.495806)","(-0.732993, -0.0952527, 0.673534)","(-0.760305, -0.0547538, 0.647254)","(-0.781697, -0.0201722, 0.623332)","(-0.813635, 0.0353208, 0.580303)","(-0.588934, -0.0342373, 0.807456)","(-0.60292, -0.0205459, 0.797537)","(-0.65693, 0.0353816, 0.753121)","(-0.73911, 0.140659, 0.658735)","(-0.724313, 0.198913, 0.660155)","(-0.748151, 0.226887, 0.623532)","(-0.765697, 0.248731, 0.593162)","(-0.638652, 0.207374, 0.741026)","(-0.25174, 0.0992568, 0.962691)","(-0.832079, 0.500914, 0.238182)","(-0.615328, 0.419937, -0.667102)",pinch
"(0, 0, 0)","(-0.977739, -0.198744, 0.0672863)","(-0.951443, -0.307809, 0.00296283)","(-0.949361, -0.314187, -0.000896543)","(-0.867919, -0.0627889, 0.49272)","(-0.734042, -0.100335, 0.671651)","(-0.761674, -0.0592456, 0.645246)","(-0.783295, -0.0241415, 0.621181)","(-0.815506, 0.0311197, 0.577912)","(-0.591443, -0.0394536, 0.805381)","(-0.605413, -0.0257212, 0.795496)","(-0.659348, 0.0303906, 0.751224)","(-0.741353, 0.136102, 0.65717)","(-0.731107, 0.199828, 0.652343)","(-0.75444, 0.22781, 0.615567)","(-0.771519, 0.249584, 0.585207)","(-0.641234, 0.20247, 0.740152)","(-0.260817, 0.0968436, 0.960518)","(-0.834174, 0.498838, 0.235191)","(-0.614969, 0.423646, -0.665084)",pinch
"(0, 0, 0)","(-0.985022, -0.166876, 0.0434082)","(-0.959645, -0.28096, -0.0119536)","(-0.957613, -0.287654, -0.0152675)","(-0.886846, -0.0036607, 0.46205)","(-0.764816, -0.0287306, 0.643608)","(-0.790511, 0.0120032, 0.61233)","(-0.810268, 0.0465301, 0.58421)","(-0.834816, 0.0946864, 0.542326)","(-0.621422, 0.0346422, 0.78271)","(-0.634606, 0.0479995, 0.771344)","(-0.685193, 0.102215, 0.721153)","(-0.760524, 0.203059, 0.616742)","(-0.749105, 0.266987, 0.606266)","(-0.770335, 0.293071, 0.566298)","(-0.785674, 0.313184, 0.533509)","(-0.661579, 0.272498, 0.698611)","(-0.295246, 0.174227, 0.939401)","(-0.827014, 0.536683, 0.167387)","(-0.580212, 0.39293, -0.713414)",pinch
"(0, 0, 0)","(-0.980531, -0.19458, 0.0263944)","(-0.951364, -0.306449, -0.0315593)","(-0.949109, -0.312995, -0.0350183)","(-0.891974, -0.0397588, 0.450336)","(-0.777524, -0.0626973, 0.62572)","(-0.803549, -0.0218736, 0.594837)","(-0.823487, 0.0127029, 0.567193)","(-0.843641, 0.0578308, 0.533785)","(-0.631623, -0.00266965, 0.775271)","(-0.64503, 0.0106172, 0.764083)","(-0.696469, 0.0647356, 0.71466)","(-0.77326, 0.166196, 0.611922)","(-0.764167, 0.231692, 0.60197)","(-0.785631, 0.258316, 0.562189)","(-0.801102, 0.278906, 0.529572)","(-0.677261, 0.236127, 0.696823)","(-0.311165, 0.142087, 0.939674)","(-0.842769, 0.509546, 0.173502)","(-0.585754, 0.397633, -0.706244)",pinch
"(0, 0, 0)","(-0.978522, -0.205501, -0.016257)","(-0.946407, -0.312585, -0.0812634)","(-0.943978, -0.318841, -0.085119)","(-0.903833, -0.0809749, 0.420152)","(-0.798956, -0.111978, 0.590872)","(-0.824898, -0.0680565, 0.56117)","(-0.844542, -0.0308294, 0.534601)","(-0.859037, 0.0107723, 0.5118)","(-0.653242, -0.0650166, 0.754353)","(-0.666482, -0.0510835, 0.743768)","(-0.717137, 0.00597304, 0.696907)","(-0.79218, 0.113865, 0.599571)","(-0.78476, 0.18142, 0.592654)","(-0.805406, 0.210796, 0.553973)","(-0.820156, 0.233628, 0.522266)","(-0.699454, 0.178386, 0.692056)","(-0.339144, 0.0709787, 0.938053)","(-0.852849, 0.487275, 0.187646)","(-0.57322, 0.443436, -0.689045)",pinch
"(0, 0, 0)","(-0.977281, -0.207351, -0.0438974)","(-0.943385, -0.312577, -0.110999)","(-0.94085, -0.318722, -0.114965)","(-0.912838, -0.0943824, 0.397264)","(-0.813209, -0.129406, 0.567403)","(-0.839271, -0.0833507, 0.537287)","(-0.858813, -0.0443118, 0.51037)","(-0.870399, -0.00501551, 0.492322)","(-0.669903, -0.0867793, 0.73736)","(-0.682943, -0.0725999, 0.726855)","(-0.732699, -0.0144284, 0.6804)","(-0.805851, 0.0958493, 0.584309)","(-0.800362, 0.167551, 0.575628)","(-0.820385, 0.198512, 0.536247)","(-0.834511, 0.222554, 0.504045)","(-0.715432, 0.158093, 0.680562)","(-0.360451, 0.0454216, 0.931672)","(-0.858024, 0.479859, 0.183114)","(-0.561406, 0.461377, -0.686989)",pinch
"(0, 0, 0)","(-0.976643, -0.206306, -0.0600478)","(-0.94186, -0.310628, -0.128099)","(-0.939273, -0.316721, -0.132113)","(-0.918206, -0.0993486, 0.383442)","(-0.821288, -0.137508, 0.553695)","(-0.847422, -0.0900945, 0.52322)","(-0.866897, -0.0498847, 0.495984)","(-0.877046, -0.0112965, 0.480273)","(-0.679939, -0.0964585, 0.726897)","(-0.69283, -0.0821325, 0.716408)","(-0.741932, -0.0233157, 0.670069)","(-0.813736, 0.088285, 0.574491)","(-0.810547, 0.165859, 0.561698)","(-0.830557, 0.198821, 0.520236)","(-0.844433, 0.224314, 0.486432)","(-0.724624, 0.14918, 0.672804)","(-0.373659, 0.033243, 0.92697)","(-0.860284, 0.477426, 0.178818)","(-0.553618, 0.471556, -0.686398)",pinch
"(0, 0, 0)","(-0.976044, -0.193064, -0.100327)","(-0.94025, -0.290874, -0.176981)","(-0.937603, -0.296587, -0.181484)","(-0.927069, -0.128045, 0.352346)","(-0.834097, -0.183224, 0.520299)","(-0.859665, -0.13232, 0.493424)","(-0.878558, -0.0890288, 0.469265)","(-0.887667, -0.0496266, 0.457805)","(-0.696572, -0.158631, 0.699731)","(-0.709155, -0.143304, 0.690336)","(-0.756914, -0.0801125, 0.648586)","(-0.826004, 0.0403593, 0.562217)","(-0.82533, 0.122838, 0.551128)","(-0.844091, 0.160023, 0.511764)","(-0.856876, 0.188845, 0.479688)","(-0.738828, 0.0912664, 0.667685)","(-0.396113, -0.0486607, 0.916912)","(-0.86179, 0.465485, 0.201598)","(-0.535237, 0.536795, -0.652206)",pinch
