thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(-0.718609, 0.472871, 0.509897)","(-0.653595, 0.725393, 0.215913)","(-0.314081, 0.884187, -0.345785)","(-0.912726, 0.406668, 0.0393977)","(-0.379772, 0.886907, 0.263002)","(0.775175, 0.533913, 0.337698)","(0.979962, -0.163167, 0.114243)","(-0.886829, 0.453873, -0.0867952)","(-0.819676, 0.570972, -0.0460667)","(-0.775473, 0.631375, 0.00275549)","(-0.737375, 0.674287, 0.0401861)","(-0.83779, 0.498637, -0.222416)","(-0.770232, 0.594718, -0.230332)","(-0.741133, 0.645657, -0.183982)","(-0.715603, 0.682827, -0.147175)","(-0.789593, 0.496778, -0.360213)","(-0.745992, 0.562235, -0.356913)","(-0.717236, 0.643922, -0.266341)","(-0.685982, 0.702224, -0.190552)",pinch
"(0, 0, 0)","(-0.727369, 0.470525, 0.49954)","(-0.660519, 0.722775, 0.203251)","(-0.299564, 0.877787, -0.373834)","(-0.915488, 0.401331, 0.02854)","(-0.386984, 0.88644, 0.253904)","(0.769224, 0.539932, 0.341714)","(0.979657, -0.157411, 0.124477)","(-0.888712, 0.447937, -0.0976917)","(-0.822238, 0.566305, -0.0567848)","(-0.776526, 0.630061, -0.00553942)","(-0.736872, 0.675188, 0.0337755)","(-0.838692, 0.492188, -0.233123)","(-0.773969, 0.58663, -0.238407)","(-0.744054, 0.640615, -0.189729)","(-0.717568, 0.679923, -0.151001)","(-0.789214, 0.489799, -0.370457)","(-0.747726, 0.556903, -0.361615)","(-0.720598, 0.637257, -0.273208)","(-0.691088, 0.694699, -0.199476)",pinch
"(0, 0, 0)","(-0.73621, 0.466867, 0.489928)","(-0.668126, 0.71871, 0.192519)","(-0.292725, 0.8722, -0.391893)","(-0.918665, 0.394647, 0.0175541)","(-0.395188, 0.885215, 0.2454)","(0.762633, 0.546053, 0.346723)","(0.97923, -0.151239, 0.135038)","(-0.890989, 0.440837, -0.108637)","(-0.825676, 0.560092, -0.0675003)","(-0.779091, 0.626751, -0.0141704)","(-0.738406, 0.673825, 0.0267893)","(-0.839963, 0.484799, -0.243786)","(-0.777931, 0.578006, -0.246438)","(-0.747347, 0.635073, -0.19533)","(-0.720002, 0.676531, -0.154601)","(-0.789115, 0.48211, -0.380614)","(-0.750416, 0.548933, -0.368168)","(-0.725075, 0.628583, -0.281335)","(-0.697276, 0.685641, -0.209052)",pinch
"(0, 0, 0)","(-0.744012, 0.463003, 0.481742)","(-0.674972, 0.714623, 0.183648)","(-0.287283, 0.867398, -0.406313)","(-0.921423, 0.388484, 0.00778294)","(-0.402617, 0.883885, 0.238006)","(0.756693, 0.551221, 0.351526)","(0.978664, -0.146084, 0.144484)","(-0.892927, 0.434371, -0.118336)","(-0.828968, 0.553932, -0.0772747)","(-0.782946, 0.621651, -0.023364)","(-0.742582, 0.669511, 0.0181078)","(-0.840988, 0.478154, -0.253196)","(-0.781275, 0.570237, -0.253848)","(-0.750402, 0.629718, -0.20088)","(-0.722556, 0.672875, -0.158598)","(-0.788898, 0.475279, -0.389551)","(-0.753939, 0.540416, -0.373531)","(-0.730126, 0.619774, -0.287742)","(-0.703719, 0.676704, -0.216452)",pinch
"(0, 0, 0)","(-0.75072, 0.458983, 0.475135)","(-0.6811, 0.710519, 0.17682)","(-0.284386, 0.863611, -0.416295)","(-0.923811, 0.382849, -0.000318873)","(-0.408692, 0.882698, 0.23198)","(0.751783, 0.555087, 0.355951)","(0.978012, -0.142155, 0.152595)","(-0.894636, 0.428559, -0.126347)","(-0.831943, 0.548299, -0.0850796)","(-0.785129, 0.618644, -0.0292045)","(-0.743794, 0.668266, 0.0138257)","(-0.84194, 0.472285, -0.260931)","(-0.784472, 0.563156, -0.259727)","(-0.753223, 0.625064, -0.204816)","(-0.724787, 0.669918, -0.160915)","(-0.788795, 0.469351, -0.396877)","(-0.75865, 0.531541, -0.376715)","(-0.73596, 0.611215, -0.291168)","(-0.710477, 0.668379, -0.220207)",pinch
"(0, 0, 0)","(-0.756793, 0.454905, 0.469389)","(-0.686716, 0.706525, 0.171006)","(-0.282242, 0.860376, -0.424372)","(-0.925967, 0.377528, -0.00761491)","(-0.41388, 0.881614, 0.22685)","(0.747658, 0.557903, 0.360211)","(0.977263, -0.139317, 0.159839)","(-0.89617, 0.42314, -0.133533)","(-0.834699, 0.542975, -0.091949)","(-0.787128, 0.615844, -0.0341398)","(-0.744849, 0.667152, 0.0104247)","(-0.842782, 0.466885, -0.267838)","(-0.787745, 0.556028, -0.265124)","(-0.755994, 0.620655, -0.20799)","(-0.72681, 0.667406, -0.162226)","(-0.788669, 0.463971, -0.403402)","(-0.763615, 0.523072, -0.378534)","(-0.741766, 0.603441, -0.292646)","(-0.716883, 0.661064, -0.221524)",pinch
"(0, 0, 0)","(-0.761726, 0.451006, 0.465152)","(-0.691501, 0.702861, 0.166771)","(-0.279524, 0.857529, -0.431867)","(-0.92768, 0.373137, -0.0133746)","(-0.417995, 0.880733, 0.222687)","(0.74454, 0.559905, 0.363547)","(0.976581, -0.137517, 0.165466)","(-0.897403, 0.418676, -0.139204)","(-0.837178, 0.538142, -0.0976569)","(-0.789587, 0.612406, -0.0388713)","(-0.747089, 0.664692, 0.00649935)","(-0.84348, 0.462445, -0.273288)","(-0.791051, 0.549194, -0.269488)","(-0.75856, 0.616888, -0.209848)","(-0.728363, 0.665773, -0.161968)","(-0.788605, 0.459556, -0.408546)","(-0.768949, 0.513889, -0.380309)","(-0.748041, 0.594706, -0.294549)","(-0.723867, 0.652704, -0.223593)",pinch
"(0, 0, 0)","(-0.766649, 0.446213, 0.461675)","(-0.697336, 0.697613, 0.164496)","(-0.276747, 0.854184, -0.440205)","(-0.929591, 0.368175, -0.0175374)","(-0.422614, 0.879387, 0.219261)","(0.741415, 0.562614, 0.365745)","(0.976262, -0.134875, 0.169476)","(-0.899071, 0.41368, -0.143321)","(-0.83999, 0.532977, -0.101747)","(-0.791218, 0.610173, -0.0407844)","(-0.747356, 0.664394, 0.00630162)","(-0.844863, 0.457527, -0.277263)","(-0.795076, 0.541992, -0.272213)","(-0.761621, 0.613132, -0.209771)","(-0.73016, 0.66439, -0.159539)","(-0.789451, 0.454722, -0.412304)","(-0.775212, 0.504706, -0.379893)","(-0.754652, 0.587153, -0.292833)","(-0.730467, 0.64625, -0.220858)",pinch
"(0, 0, 0)","(-0.771575, 0.441131, 0.45834)","(-0.703012, 0.692404, 0.162327)","(-0.273054, 0.851034, -0.448535)","(-0.931454, 0.363208, -0.021759)","(-0.42635, 0.878278, 0.216456)","(0.739278, 0.56366, 0.36845)","(0.975689, -0.134203, 0.173263)","(-0.900648, 0.408766, -0.147453)","(-0.842689, 0.527855, -0.106043)","(-0.792971, 0.607739, -0.0430125)","(-0.747944, 0.663737, 0.0057119)","(-0.846113, 0.452786, -0.281207)","(-0.799147, 0.534769, -0.274567)","(-0.765176, 0.608639, -0.209916)","(-0.732887, 0.661793, -0.157821)","(-0.790121, 0.450159, -0.416011)","(-0.7817, 0.496348, -0.377604)","(-0.761074, 0.581182, -0.288086)","(-0.736368, 0.641788, -0.214173)",pinch
"(0, 0, 0)","(-0.779074, 0.434529, 0.451916)","(-0.710592, 0.686026, 0.156293)","(-0.266666, 0.84617, -0.461395)","(-0.934249, 0.355434, -0.0290808)","(-0.432245, 0.876451, 0.212127)","(0.735249, 0.565916, 0.373025)","(0.974828, -0.131791, 0.179837)","(-0.902905, 0.401071, -0.154613)","(-0.846472, 0.520245, -0.113272)","(-0.795862, 0.603607, -0.0475527)","(-0.749576, 0.66191, 0.00331521)","(-0.84776, 0.445356, -0.288029)","(-0.803598, 0.525737, -0.278982)","(-0.769166, 0.603056, -0.211441)","(-0.735976, 0.65857, -0.156923)","(-0.790765, 0.443006, -0.422418)","(-0.788028, 0.48547, -0.378589)","(-0.767918, 0.572892, -0.286526)","(-0.7431, 0.635196, -0.210544)",pinch
