thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(0.982301, 0.157326, 0.101655)","(0.770991, 0.136763, 0.621988)","(0.340251, 0.0765872, 0.937211)","(0.880284, -0.190259, 0.434628)","(0.200419, 0.858406, 0.472198)","(-0.8637, 0.470778, -0.179975)","(-0.890049, -0.0985168, -0.445092)","(0.807059, -0.236183, 0.541177)","(0.244537, 0.896437, 0.369598)","(-0.731636, 0.528552, -0.430513)","(-0.804087, 0.00393149, -0.594498)","(0.708979, -0.278558, 0.647884)","(0.251025, 0.914944, 0.316013)","(-0.645814, 0.461211, -0.608448)","(-0.694527, -0.158126, -0.701875)","(0.602067, -0.348826, 0.718217)","(0.39187, 0.883651, 0.256121)","(-0.508938, 0.479399, -0.714953)","(-0.655423, -0.15729, -0.738702)",fist
"(0, 0, 0)","(0.979838, 0.187573, 0.0688072)","(0.782879, 0.181516, 0.595107)","(0.362392, 0.122021, 0.924004)","(0.896339, -0.149461, 0.417419)","(0.19158, 0.880145, 0.43433)","(-0.879388, 0.443993, -0.171891)","(-0.89947, -0.135598, -0.415411)","(0.827242, -0.193175, 0.527593)","(0.228946, 0.916363, 0.328425)","(-0.757159, 0.491543, -0.430228)","(-0.819169, -0.0408046, -0.572099)","(0.733213, -0.234008, 0.638466)","(0.233216, 0.933101, 0.273737)","(-0.67415, 0.419935, -0.607598)","(-0.708148, -0.203158, -0.676205)","(0.630187, -0.304352, 0.714307)","(0.37455, 0.902425, 0.212933)","(-0.539159, 0.439964, -0.71815)","(-0.669651, -0.199232, -0.715454)",fist
"(0, 0, 0)","(0.978755, 0.19649, 0.0585718)","(0.786167, 0.194776, 0.586518)","(0.3689, 0.135526, 0.919535)","(0.90095, -0.137244, 0.411647)","(0.189718, 0.885919, 0.423266)","(-0.883419, 0.437388, -0.168117)","(-0.902466, -0.145055, -0.405604)","(0.833127, -0.180276, 0.522876)","(0.223907, 0.921909, 0.316147)","(-0.764763, 0.480304, -0.42947)","(-0.82345, -0.0541188, -0.564803)","(0.740355, -0.220628, 0.634978)","(0.227358, 0.938176, 0.261025)","(-0.682592, 0.407571, -0.606592)","(-0.71207, -0.216147, -0.66801)","(0.638549, -0.29096, 0.712458)","(0.369393, 0.907361, 0.200612)","(-0.547611, 0.429104, -0.718326)","(-0.673645, -0.209919, -0.708616)",fist
"(0, 0, 0)","(0.978101, 0.20128, 0.0529622)","(0.787891, 0.201912, 0.581773)","(0.372395, 0.142804, 0.917022)","(0.903402, -0.130644, 0.408407)","(0.189557, 0.888682, 0.417507)","(-0.885105, 0.435036, -0.16533)","(-0.904395, -0.148907, -0.399871)","(0.836276, -0.173304, 0.5202)","(0.221114, 0.924826, 0.309525)","(-0.768863, 0.474203, -0.42893)","(-0.825717, -0.061296, -0.560744)","(0.744192, -0.213391, 0.632963)","(0.223985, 0.940899, 0.254047)","(-0.687137, 0.400978, -0.605854)","(-0.714231, -0.222807, -0.6635)","(0.643056, -0.283711, 0.711327)","(0.366901, 0.909708, 0.194461)","(-0.551644, 0.424145, -0.718185)","(-0.675716, -0.214166, -0.705366)",fist
"(0, 0, 0)","(0.977662, 0.2043, 0.0493834)","(0.788963, 0.206418, 0.578731)","(0.374599, 0.147401, 0.915395)","(0.90494, -0.126468, 0.406312)","(0.189832, 0.890284, 0.413954)","(-0.885955, 0.434086, -0.163255)","(-0.905756, -0.150796, -0.396063)","(0.838257, -0.168891, 0.51846)","(0.21932, 0.926643, 0.305338)","(-0.771454, 0.470332, -0.428539)","(-0.827135, -0.0658322, -0.558134)","(0.746612, -0.20881, 0.63164)","(0.221749, 0.942625, 0.24957)","(-0.690005, 0.396861, -0.605304)","(-0.71563, -0.226835, -0.66062)","(0.645904, -0.279119, 0.710563)","(0.36548, 0.911051, 0.190813)","(-0.553939, 0.42145, -0.718005)","(-0.676995, -0.216119, -0.703541)",fist
"(0, 0, 0)","(0.977325, 0.206525, 0.0467268)","(0.789744, 0.20974, 0.576466)","(0.376223, 0.150792, 0.914176)","(0.906068, -0.123386, 0.404743)","(0.189789, 0.891521, 0.411303)","(-0.886437, 0.43368, -0.161713)","(-0.90687, -0.151556, -0.393213)","(0.839713, -0.165633, 0.517153)","(0.217984, 0.92797, 0.302249)","(-0.773366, 0.467469, -0.428226)","(-0.828174, -0.0691766, -0.556185)","(0.748395, -0.205426, 0.630639)","(0.220033, 0.943907, 0.246221)","(-0.692119, 0.393859, -0.604852)","(-0.71669, -0.229679, -0.658485)","(0.648005, -0.275726, 0.709975)","(0.36406, 0.912272, 0.187671)","(-0.555664, 0.419315, -0.717922)","(-0.677922, -0.217211, -0.702312)",fist
"(0, 0, 0)","(0.976024, 0.214484, 0.0370729)","(0.792487, 0.221644, 0.568188)","(0.382034, 0.162962, 0.909667)","(0.910071, -0.112307, 0.398946)","(0.190794, 0.895556, 0.401966)","(-0.888227, 0.432179, -0.155803)","(-0.910687, -0.155231, -0.382821)","(0.844909, -0.153918, 0.512287)","(0.213092, 0.932641, 0.291159)","(-0.780224, 0.457143, -0.426931)","(-0.831849, -0.0811826, -0.549032)","(0.754774, -0.193255, 0.626873)","(0.213674, 0.948429, 0.234149)","(-0.700122, 0.381349, -0.603657)","(-0.719872, -0.242342, -0.650427)","(0.655542, -0.263513, 0.70769)","(0.358517, 0.916819, 0.175809)","(-0.563766, 0.408688, -0.717734)","(-0.681506, -0.227446, -0.69557)",fist
"(0, 0, 0)","(0.972952, 0.224586, 0.0540932)","(0.779783, 0.230188, 0.582196)","(0.350269, 0.164922, 0.922015)","(0.912138, -0.106498, 0.395805)","(0.197969, 0.895491, 0.398629)","(-0.885533, 0.440286, -0.148258)","(-0.915061, -0.148335, -0.375047)","(0.847609, -0.14777, 0.50963)","(0.210471, 0.935028, 0.28535)","(-0.783814, 0.451704, -0.426144)","(-0.83374, -0.0874659, -0.545186)","(0.758102, -0.186865, 0.62479)","(0.209267, 0.951156, 0.226958)","(-0.704662, 0.373617, -0.60321)","(-0.721398, -0.249557, -0.645993)","(0.659488, -0.257095, 0.706383)","(0.355592, 0.919113, 0.169663)","(-0.567795, 0.403464, -0.717513)","(-0.683343, -0.232017, -0.69225)",fist
"(0, 0, 0)","(0.955489, 0.25673, 0.145366)","(0.713556, 0.245695, 0.656104)","(0.246127, 0.156719, 0.956483)","(0.915699, -0.0986542, 0.389567)","(0.204369, 0.895935, 0.394377)","(-0.883953, 0.446798, -0.137837)","(-0.920381, -0.142693, -0.364057)","(0.852276, -0.139706, 0.504091)","(0.206719, 0.937864, 0.278708)","(-0.789769, 0.444482, -0.42273)","(-0.837198, -0.0956304, -0.538475)","(0.763873, -0.178727, 0.620125)","(0.203687, 0.954198, 0.219128)","(-0.7119, 0.364467, -0.600302)","(-0.72448, -0.258299, -0.63907)","(0.666309, -0.249123, 0.70283)","(0.351168, 0.92216, 0.162179)","(-0.575139, 0.396771, -0.715394)","(-0.686956, -0.238392, -0.686484)",fist
"(0, 0, 0)","(0.87883, 0.37297, 0.297575)","(0.566152, 0.316797, 0.760994)","(0.0685904, 0.158394, 0.984991)","(0.944461, -0.00483695, 0.328589)","(0.162706, 0.928007, 0.335158)","(-0.92119, 0.377708, -0.0935232)","(-0.93072, -0.224566, -0.288669)","(0.892334, -0.0443546, 0.44919)","(0.147035, 0.965145, 0.21651)","(-0.849806, 0.357121, -0.387679)","(-0.860301, -0.19061, -0.472811)","(0.8153, -0.083728, 0.572953)","(0.137477, 0.978204, 0.155617)","(-0.777866, 0.272433, -0.566308)","(-0.74135, -0.349875, -0.572701)","(0.729527, -0.15689, 0.665715)","(0.284363, 0.954372, 0.0911704)","(-0.651416, 0.311085, -0.692014)","(-0.709099, -0.327568, -0.624402)",fist
