thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(0.549293, -0.17461, 0.817183)","(0.697196, -0.314222, 0.644347)","(0.811529, -0.456583, 0.364628)","(0.652783, -0.432939, 0.621641)","(0.36181, -0.721686, 0.590138)","(0.502047, -0.52586, 0.686601)","(0.599835, -0.318263, 0.734103)","(0.559935, -0.409963, 0.720003)","(0.625712, 0.751028, 0.210811)","(-0.396186, 0.63951, -0.658835)","(-0.71928, 0.0855972, -0.689427)","(0.446996, -0.372869, 0.813119)","(0.659826, 0.726915, 0.190327)","(-0.289175, 0.58077, -0.760975)","(-0.646411, 0.0508569, -0.761293)","(0.315293, -0.365691, 0.875706)","(0.734589, 0.67175, 0.0955562)","(0.0520369, 0.468057, -0.882165)","(-0.352666, 0.0960802, -0.930803)",fist
"(0, 0, 0)","(0.549584, -0.174093, 0.817098)","(0.697785, -0.313288, 0.644163)","(0.812444, -0.455256, 0.364249)","(0.653627, -0.432071, 0.621358)","(0.362875, -0.722303, 0.588727)","(0.503329, -0.525691, 0.685791)","(0.601062, -0.317084, 0.733609)","(0.560728, -0.409354, 0.719732)","(0.624165, 0.75216, 0.211362)","(-0.39749, 0.639141, -0.658408)","(-0.719436, 0.0845852, -0.689389)","(0.44771, -0.372557, 0.81287)","(0.658316, 0.728152, 0.190826)","(-0.290368, 0.580666, -0.760601)","(-0.646493, 0.0500341, -0.761278)","(0.31599, -0.36569, 0.875455)","(0.733226, 0.673163, 0.0960815)","(0.0511332, 0.468803, -0.881821)","(-0.352816, 0.0960457, -0.93075)",fist
"(0, 0, 0)","(0.550098, -0.173423, 0.816894)","(0.698397, -0.312464, 0.643901)","(0.81313, -0.45435, 0.363848)","(0.65438, -0.431291, 0.621108)","(0.362446, -0.724385, 0.58643)","(0.503546, -0.527535, 0.684213)","(0.601752, -0.318206, 0.732557)","(0.561495, -0.408677, 0.719518)","(0.623364, 0.752911, 0.211051)","(-0.39854, 0.638609, -0.658289)","(-0.719833, 0.0836667, -0.689087)","(0.448474, -0.372006, 0.812701)","(0.657522, 0.728963, 0.190468)","(-0.291404, 0.580229, -0.760538)","(-0.646879, 0.0491866, -0.761005)","(0.31677, -0.36529, 0.87534)","(0.732486, 0.674014, 0.0957539)","(0.0502295, 0.468827, -0.881861)","(-0.353308, 0.0955979, -0.93061)",fist
"(0, 0, 0)","(0.54966, -0.174006, 0.817065)","(0.69859, -0.312123, 0.643857)","(0.814102, -0.452923, 0.363454)","(0.654975, -0.431013, 0.620674)","(0.361052, -0.729448, 0.580988)","(0.502329, -0.533409, 0.680544)","(0.600878, -0.324032, 0.730718)","(0.561908, -0.408955, 0.719038)","(0.620804, 0.75424, 0.213831)","(-0.399766, 0.639167, -0.657003)","(-0.719305, 0.0833229, -0.68968)","(0.448667, -0.372886, 0.812191)","(0.655048, 0.730472, 0.193188)","(-0.292346, 0.581373, -0.759302)","(-0.646162, 0.0492557, -0.761609)","(0.316872, -0.366745, 0.874695)","(0.730317, 0.675974, 0.0984678)","(0.0498179, 0.471416, -0.880503)","(-0.352522, 0.0970971, -0.930752)",fist
"(0, 0, 0)","(0.550183, -0.173635, 0.816792)","(0.699217, -0.311517, 0.643469)","(0.814811, -0.452112, 0.362874)","(0.65575, -0.430443, 0.62025)","(0.358636, -0.734708, 0.575833)","(0.500708, -0.539869, 0.676633)","(0.600266, -0.330688, 0.728235)","(0.562697, -0.408535, 0.71866)","(0.619958, 0.754937, 0.21383)","(-0.40085, 0.638877, -0.656624)","(-0.719702, 0.0826442, -0.689346)","(0.44945, -0.372638, 0.811872)","(0.654211, 0.731237, 0.193132)","(-0.293413, 0.581227, -0.759002)","(-0.646547, 0.0486847, -0.761319)","(0.317673, -0.366679, 0.874431)","(0.729535, 0.676825, 0.0984187)","(0.0488871, 0.471799, -0.88035)","(-0.353018, 0.0970087, -0.930574)",fist
"(0, 0, 0)","(0.550324, -0.173426, 0.816742)","(0.69961, -0.310936, 0.643323)","(0.815489, -0.451158, 0.362539)","(0.656347, -0.429907, 0.619991)","(0.357798, -0.737991, 0.572145)","(0.500288, -0.543636, 0.673923)","(0.600311, -0.33431, 0.726542)","(0.563245, -0.408226, 0.718406)","(0.61871, 0.755767, 0.214509)","(-0.401813, 0.638732, -0.656177)","(-0.719752, 0.0820076, -0.68937)","(0.449929, -0.372586, 0.811631)","(0.652993, 0.732158, 0.193766)","(-0.29428, 0.581314, -0.758599)","(-0.646531, 0.0482149, -0.761362)","(0.318134, -0.366887, 0.874177)","(0.728445, 0.677903, 0.0990736)","(0.0482604, 0.472593, -0.879958)","(-0.353043, 0.0972085, -0.930543)",fist
"(0, 0, 0)","(0.558639, -0.171069, 0.811578)","(0.706807, -0.308082, 0.636796)","(0.820583, -0.447997, 0.354883)","(0.663788, -0.427215, 0.613899)","(0.364123, -0.739575, 0.566077)","(0.507267, -0.545678, 0.667019)","(0.60764, -0.336467, 0.71942)","(0.571538, -0.405853, 0.713182)","(0.617831, 0.758189, 0.208407)","(-0.410436, 0.636946, -0.652566)","(-0.726545, 0.0790018, -0.682562)","(0.458973, -0.370609, 0.807461)","(0.651995, 0.73472, 0.187319)","(-0.303667, 0.579879, -0.755993)","(-0.653879, 0.045454, -0.755233)","(0.327753, -0.365387, 0.871246)","(0.726781, 0.680682, 0.0919882)","(0.0381674, 0.472473, -0.880518)","(-0.362173, 0.0955594, -0.9272)",fist
"(0, 0, 0)","(0.5634, -0.168772, 0.808762)","(0.710934, -0.305683, 0.633349)","(0.823516, -0.445738, 0.350912)","(0.668073, -0.424935, 0.610826)","(0.366709, -0.741283, 0.562161)","(0.51083, -0.547311, 0.66295)","(0.611876, -0.33749, 0.715338)","(0.576315, -0.403653, 0.710581)","(0.617224, 0.759863, 0.204067)","(-0.415445, 0.635145, -0.65115)","(-0.730429, 0.0764419, -0.678697)","(0.464183, -0.368542, 0.805426)","(0.651315, 0.736461, 0.182795)","(-0.30912, 0.578166, -0.755095)","(-0.658082, 0.0429573, -0.75172)","(0.3333, -0.363534, 0.869916)","(0.725731, 0.682433, 0.0871784)","(0.0323218, 0.471433, -0.88131)","(-0.367414, 0.0935566, -0.92534)",fist
"(0, 0, 0)","(0.566958, -0.167049, 0.806631)","(0.714015, -0.303883, 0.630744)","(0.825705, -0.444048, 0.347897)","(0.671278, -0.423221, 0.608498)","(0.368733, -0.742119, 0.559727)","(0.513708, -0.547642, 0.660449)","(0.615244, -0.336932, 0.712707)","(0.57989, -0.402001, 0.708606)","(0.616741, 0.761121, 0.200813)","(-0.41921, 0.633782, -0.650064)","(-0.733331, 0.074508, -0.675777)","(0.468087, -0.36699, 0.803874)","(0.650776, 0.737772, 0.179396)","(-0.313221, 0.576866, -0.754399)","(-0.661223, 0.0410707, -0.749064)","(0.337459, -0.362143, 0.868892)","(0.724919, 0.683746, 0.0835772)","(0.0279296, 0.47065, -0.881878)","(-0.37134, 0.0920574, -0.923922)",fist
"(0, 0, 0)","(0.569801, -0.165665, 0.804911)","(0.716477, -0.302439, 0.628643)","(0.827453, -0.4427, 0.345453)","(0.673841, -0.421845, 0.606617)","(0.369573, -0.743565, 0.55725)","(0.515193, -0.549186, 0.658005)","(0.617245, -0.338179, 0.710383)","(0.582753, -0.400674, 0.707008)","(0.616337, 0.762131, 0.198203)","(-0.422234, 0.63268, -0.64918)","(-0.735651, 0.0729459, -0.673422)","(0.471213, -0.365744, 0.802614)","(0.650323, 0.738829, 0.176667)","(-0.316518, 0.575812, -0.753828)","(-0.663735, 0.0395475, -0.746921)","(0.340793, -0.361026, 0.868056)","(0.724252, 0.684798, 0.0806941)","(0.0244029, 0.470023, -0.882317)","(-0.374483, 0.0908523, -0.922772)",fist
